review_id,title,author,author_url,version,rating,review,vote_count
3941033288,Mics problem for mobile,jordon126,https://itunes.apple.com/us/reviews/id251526368,8.20.0,5,I don’t play on mobile but my cousin does I play on xbox the thing is I can’t hear him we used to work so good together and almost win or we win with mics but now it made it so mobile can’t talk and the only way to communicate is to be by each other can you plz fix this problem I would really love it.,0
3941027725,Help my brain cells are gone,PartyPlayz,https://itunes.apple.com/us/reviews/id492194544,8.20.0,1,hhhhhhhhhhhhhhhhhhhh,0
3941014654,Takes up to much space,BranH,https://itunes.apple.com/us/reviews/id43664598,8.20.0,2,I have been playing ever since it came out on mobile and I do play on mobile and the thing is whenever I update I have no space!But I have like two games and it takes forever for the update to get done!So I have to delete more games and wait like an hour for the update to be done!,0
3941005368,I HATE THIS GAME,Herknav01,https://itunes.apple.com/us/reviews/id28922509,8.20.0,1,AGAIN I HATE IT,0
3940967130,Voice chat,Jaxy Yt,https://itunes.apple.com/us/reviews/id707307105,8.20.0,3,Plz make it work,0
3940944655,The game is great but...,Linguini from feta cheese,https://itunes.apple.com/us/reviews/id492217552,8.20.0,5,"The game is great. I’ve been playing since season 2 and loves it. The only concern I have is now when I click on connect to my Xbox account it says, “Failure communicating with Epic Games servers. Please try again later,” and once again 45 mins to an hour I try again and STILL pops up, I don’t know if it’s my phone but every thing is up to date and my iPhone is iPhone 8 Plus so it is compatible. If you know anything please get back as soon as you can to see what I can do to fix this message.",0
3940477552,PLEASE ADD A DAILY LLAMA IN BATTLE ROYALE,burrenthenoob,https://itunes.apple.com/us/reviews/id416191080,8.20.0,4,Look at title,0
3940383101,Voice chat,martindartin1212,https://itunes.apple.com/us/reviews/id969609084,8.20.0,4,Dear epic games I love Fortnite mobile but you guys said voice chat for mobiles is temporarily disabled it’s been over a 3 weeks and we still can’t use voice chat please read this and fix the problem,0
3940345585,Fortnite iPhone 5s ?,Acura_Th3_NSX,https://itunes.apple.com/us/reviews/id631203584,8.20.0,5,Can fortnite come out on 5s because I really wanna play I stayed up at 1 in the morning trying to find apks but I could not I really love the game my dad won’t let me on his ps4 and my auntie has a iphone7plus but I don’t know her password pls epic I will do anything just plz I go to all the fortnite events even in Korea that how much I love so plz on iphone5s just pls epic and pls read this epic games I also play paragon on ps4 I knew you guys before fortnite but anyway pls I’m 11 and just really wanna play Fnbr so plz I am crying right now I have not played in three months last time I play it was at my cousins house my account called Acura_Th3_NSX make it to play fortnite 1gb ok plzzzzzz bye epic games love u and u games,0
3940276633,Crashhinnggggg again,jajdj282,https://itunes.apple.com/us/reviews/id722595288,8.20.0,3,Okay there was a period of time where there was no crashing and now it’s back again. Very frustrating but the time that I do get to play it is very fun. The crashing really kills it for me though :(,0
3940139213,Fix the Race Track in Happy Hamlet challenge,william343,https://itunes.apple.com/us/reviews/id565359224,8.20.0,3,Whenever I get to the middle of the race it always sends me back to the dam lobby,0
